,title,year,rating,IMDB_rating,votes,metascore,countries,languages,actors,tagline,genres,imdb_url,director,budget_in_dollars,opening_week_us_in_dollars,gross_usa_in_dollars,world_wide_box_office_in_dollars,num_genres,num_languages,num_countries
0,Munich,2005,R,7.5,202736,74,"['France', 'Canada', 'USA']","['English', 'German', 'French', 'Hebrew', 'Arabic', 'Italian', 'Greek', 'Russian', 'Dutch']","['Eric Bana', 'Daniel Craig', 'Ciarán Hinds', 'Mathieu Kassovitz', 'Hanns Zischler', 'Ayelet Zurer', 'Geoffrey Rush', 'Gila Almagor', 'Michael Lonsdale', 'Mathieu Amalric', 'Moritz Bleibtreu', 'Valeria Bruni Tedeschi', 'Meret Becker', 'Marie-Josée Croze', 'Yvan Attal']",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,"[' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt0408306/,Steven Spielberg,70000000,4152260,47403685,130358645,3,9,3
1,The Lost World: Jurassic Park,1997,PG-13,6.6,357405,59,['USA'],"['English', 'Spanish']","['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Arliss Howard', 'Richard Attenborough', 'Vince Vaughn', 'Vanessa Chester', 'Peter Stormare', 'Harvey Jason', 'Richard Schiff', 'Thomas F. Duffy', 'Joseph Mazzello', 'Ariana Richards', 'Thomas Rosales Jr.', 'Camilla Belle']",Something has survived,"[' Action', ' Adventure', ' Sci-Fi']",https://www.imdb.com/title/tt0119567/,Steven Spielberg,73000000,72132785,229086679,618638999,3,2,1
2,Jaws,1975,PG,8.0,522031,87,['USA'],['English'],"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton', 'Carl Gottlieb', 'Jeffrey Kramer', 'Susan Backlinie', 'Jonathan Filley', 'Ted Grossman', 'Chris Rebello', 'Jay Mello', 'Lee Fierro', 'Jeffrey Voorhees', 'Craig Kingsbury']",If you forgot what terror was like...it's back.,"[' Adventure', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0073195/,Steven Spielberg,7000000,7061513,260000000,471203004,3,1,1
3,1941,1979,PG,5.8,29946,34,['USA'],"['English', 'Japanese', 'German', 'Spanish']","['Dan Aykroyd', 'Ned Beatty', 'John Belushi', 'Lorraine Gary', 'Murray Hamilton', 'Christopher Lee', 'Tim Matheson', 'Toshirô Mifune', 'Warren Oates', 'Robert Stack', 'Treat Williams', 'Nancy Allen', 'Lucille Benson', 'Jordan Cohen', 'John Candy']","As They Roared Into Battle, Only One Thing Was Missing...The Enemy!","[' Action', ' Comedy', ' War']",https://www.imdb.com/title/tt0078723/,Steven Spielberg,35000000,2701898,31755742,92455742,3,4,1
4,E.T. the Extra-Terrestrial,1982,PG,7.8,349774,91,['USA'],['English'],"['Dee Wallace', 'Henry Thomas', 'Peter Coyote', 'Robert MacNaughton', 'Drew Barrymore', 'K.C. Martel', 'Sean Frye', 'C. Thomas Howell', 'Erika Eleniak', ""David M. O'Dell"", 'Richard Swingler', 'Frank Toth', 'Robert Barton', 'Michael Darrell', 'David Berkson']",The mystery. The suspense. The adventure. The call... that started it all.,"[' Family', ' Sci-Fi']",https://www.imdb.com/title/tt0083866/,Steven Spielberg,10500000,11835389,435110554,792910554,2,1,1
5,Indiana Jones and the Last Crusade,1989,PG-13,8.2,655089,65,['USA'],"['English', 'German', 'Greek', 'Arabic']","['Harrison Ford', 'Sean Connery', 'Denholm Elliott', 'Alison Doody', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison', 'Richard Young', 'Alexei Sayle', 'Alex Hyde-White', 'Paul Maxwell', 'Isla Blair']","The man with the hat is back. And this time, he's bringing his Dad.","[' Action', ' Adventure']",https://www.imdb.com/title/tt0097576/,Steven Spielberg,48000000,29355021,197171806,474310887,2,4,1
6,Indiana Jones and the Temple of Doom,1984,PG,7.6,421067,57,['USA'],"['English', 'Sinhalese', 'Hindi']","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan', 'Amrish Puri', 'Roshan Seth', 'Philip Stone', 'Roy Chiao', 'David Yip', 'Ric Young', 'Chua Kah Joo', 'Rex Ngui', 'Philip Tan', 'Dan Aykroyd', 'Akio Mitamura', 'Michael Yama']",The hero is back!,"[' Action', ' Adventure']",https://www.imdb.com/title/tt0087469/,Steven Spielberg,28000000,25337110,179870271,333107271,2,3,1
7,Jurassic Park,1993,PG-13,8.1,810834,68,['USA'],"['English', 'Spanish']","['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields']",Caution! Alive Inside.,"[' Action', ' Adventure', ' Sci-Fi', ' Thriller']",https://www.imdb.com/title/tt0107290/,Steven Spielberg,63000000,47026828,402828120,1030314141,4,2,1
8,War of the Worlds,2005,PG-13,6.5,397788,73,['USA'],['English'],"['Tom Cruise', 'Dakota Fanning', 'Miranda Otto', 'Justin Chatwin', 'Tim Robbins', 'Rick Gonzalez', 'Yul Vazquez', 'Lenny Venito', 'Lisa Ann Walter', 'Ann Robinson', 'Gene Barry', 'David Alan Basche', 'Roz Abrams', 'Michael Brownlee', 'Camillia Monet']",Sie sind schon unter uns.,"[' Adventure', ' Sci-Fi', ' Thriller']",https://www.imdb.com/title/tt0407304/,Steven Spielberg,132000000,64878725,234280354,591745532,3,1,1
9,Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,6.1,404752,65,['USA'],"['English', 'German', 'Russian']","['Harrison Ford', 'Cate Blanchett', 'Karen Allen', 'Shia LaBeouf', 'Ray Winstone', 'John Hurt', 'Jim Broadbent', 'Igor Jijikine', 'Dimitri Diatchenko', 'Ilia Volok', 'Emmanuel Todorov', 'Pasha D. Lychnikoff', 'Andrew Divoff', 'Venya Manzyuk', 'Alan Dale']",The adventure continues . . . [Australia Theatrical],"[' Action', ' Adventure']",https://www.imdb.com/title/tt0367882/,Steven Spielberg,185000000,100137835,317101119,786636033,2,3,1
